title,link,snippet,Euro,expenditures,budget,investment,billion,million,€
"Conversione in legge del decreto-legge 29 settembre 2023, n. 131 ...",https://documenti.camera.it/leg19/documentiAcquisiti/COM10/Audizioni/leg19.com10.Audizioni.Memoria.PUBBLICO.ideGes.20266.12-10-2023-10-47-12.459.pdf,"Oct 11, 2023 ... Le persistenti criticità legate al costo dell'energia, in particolare per le PMI manifatturiere, ... Testo emendamento: Al comma 8 aggiungere le parole “o, in ...",0,0,0,0,0,0,0
Untitled,https://documenti.camera.it/_dati/leg19/lavori/bollet/202212/emendamenti/html/05/0643bis/0643bis.htm,"Dec 10, 2022 ... ... emendamento. 56.010. Amich, Lucaselli, Cannata, Giorgianni, Mascaretti ... legge per la quota relativa ai componenti minorenni presentano domanda di ...",5712,5512,1,116,5,348,24
"Ulteriori misure urgenti in materia di energia, imprese e PNRR (cd ...",https://documenti.camera.it/Leg19/Dossier/Pdf/D22144a.Pdf,"Nov 9, 2022 ... l'emendamento che fa confluire il decreto-legge n. 99 nel decreto-legge n ... contenere gli effetti derivanti dall'aumento del costo dell'energia e dei.",0,1,0,0,0,0,0
Resoconto Stenografico dell'Assemblea,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0064/stenografico.pdf,"Mar 7, 2023 ... il costo dell'energia – n. 3-00077). PRESIDENTE. Il Sottosegretario di Stato ... 197 (legge di bilancio per il 2023) alla legge. 11 febbraio 1992, n. 157, si ...",0,0,0,0,0,0,0
marzo 2023 - Effetti finanziari per l'esercizio 2022 delle misure ...,http://documenti.camera.it/leg19/dossier/pdf/DFP008.pdf,"Mar 31, 2023 ... menzionati, disposti dalla legge di bilancio 2022 e dai decreti legge nn. 4 ... un incremento del costo dell'energia elettrica superiore al 30 per cento rispetto ...",0,0,0,0,0,0,0
Resoconto Stenografico dell'Assemblea,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0143/stenografico.pdf,"Jul 20, 2023 ... Disegno di legge: Conversione in legge, con modificazioni, del decreto-legge ... Ci chiediamo, e veramente io ho chiesto, perché questo emendamento è stato ...",0,1,0,0,0,0,0
LEGGE DI BILANCIO 2023,https://documenti.camera.it/leg19/documentiAcquisiti/COM05/Audizioni/leg19.com05.Audizioni.Memoria.PUBBLICO.ideGes.7434.13-06-2023-12-14-34.pdf,"Dec 2, 2022 ... mifgazione del costo dell'energia si rivolga a ... Per questo abbiamo elaborato un emendamento che chiede l'abrogazione dell'intero capo dalla Legge di Bilancio.",0,0,0,0,0,0,0
Atti Parlamentari,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0050/leg.19.sed0050.allegato_b.pdf,"Feb 13, 2023 ... comprese nel costo dell'energia; inoltre in- trodurrebbe nel calcolo elementi di ... con l'ultima legge di bilancio (legge n. 197 del 2022) il Dog è stato ...",0,0,0,0,0,0,0
STUD - Dossier - 18,https://documenti.camera.it/Leg19/Dossier/Pdf/ID0002evol1.Pdf,"Dec 24, 2022 ... all'articolo 1, comma 182, della legge di stabilità 2016 (legge n. 208 del ... Nella relazione tecnica all'emendamento 18.0.1000, il Governo rammenta che.",63,21,0,0,0,0,0
STUD - Dossier - 35,https://documenti.camera.it/Leg19/Dossier/Pdf/D22198bvol2.Pdf,"Feb 16, 2023 ... Fino alla conversione in legge del decreto-legge n. 121 del 2021, era ... Infine, con un emendamento approvato dal Senato, è stato introdotto il comma 8- bis ...",0,0,0,0,0,0,0
Atti Parlamentari,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0138/leg.19.sed0138.allegato_a.pdf,"Jul 12, 2023 ... scali e del costo dell'energia, si potrebbero attrarre investimenti in grado ... «decreto-legge Energia» decreto-legge 1° marzo 2022, n. 17, convertito con ...",0,0,0,0,0,0,0
A.C. 1322,http://documenti.camera.it/leg19/dossier/pdf/VQ1322.pdf,"Jul 26, 2023 ... la (futura) data di entrata in vigore della legge di conversione del presente decreto-legge. ... emendamento non corredato di relazione tecnica, modifica il ...",0,0,0,0,0,0,0
Resoconto Stenografico dell'Assemblea,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0165/stenografico.pdf,"Sep 20, 2023 ... dell'emendamento 1.1 Casu. Ha chiesto di parlare l'onorevole Casu. Ne ha facoltà ... Conversione in legge del decreto-legge 10 agosto 2023, n. 105, recante ...",0,1,0,0,0,0,0
Atti Parlamentari,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0161/leg.19.sed0161.allegato_b.pdf,"Sep 13, 2023 ... l'aumento del costo dell'energia, di incre- mentare la sicurezza degli ... con un emendamento al decreto-legge. 24 dicembre 2021, n. 221, approvato al.",0,0,0,0,0,0,0
Monitoraggio e controllo dei provvedimenti attuativi delle leggi,https://documenti.camera.it/Leg19/Dossier/Pdf/CP0623AA.Pdf,"Jun 22, 2023 ... Con specifico riferimento alla Legge di bilancio 2023 (legge 29 dicembre 2022, n. ... degli aumenti del costo dell'energia elettrica in favore delle famiglie e ...",0,0,0,0,0,0,0
Atti Parlamentari,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0176/leg.19.sed0176.allegato_a.pdf,"Oct 10, 2023 ... è altrettanto drammatico consta- tare che questo crollo era ampiamente pre- vedibile, come denunciato dal M5S sin dalla precedente legge di bilancio: il taglio ...",0,0,0,0,0,0,0
PIANO NAZIONALE INTEGRATO PER L'ENERGIA E IL CLIMA,https://www.mase.gov.it/sites/default/files/PNIEC_2023.pdf,"Jun 7, 2023 ... ... costo dell'energia (gas, carburanti ed elettricità) pagato dalle imprese ... legge 4 novembre 2016, n. 204, ed è entrato in vigore l'11 dicembre 2016. Al ...",0,0,0,0,0,0,0
Resoconto Stenografico dell'Assemblea,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0093/stenografico.pdf,"Apr 27, 2023 ... - «Conversione in legge, con modificazioni, del decreto-legge 17 marzo. 2023, n. ... italiane, diminuendo il costo dell'energia. Io la sollecito, signor Ministro ...",0,0,0,0,0,0,0
RESOCONTO STENOGRAFICO,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0092/stenografico.pdf,"Apr 26, 2023 ... del costo dell'energia. Allora, colleghi della maggioranza, vi chiedo: come ... alla conversione in legge del decreto-legge sulla nuova governance, per fare ...",0,0,0,0,0,0,0
Resoconto Stenografico dell'Assemblea,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0117/stenografico.pdf,"Jun 9, 2023 ... i bonus per la riduzione del costo dell'energia elettrica (375) ... È noto che il Governo ha presentato diverse proposte di legge e decreti-legge per contrastare.",0,0,0,0,0,0,0
RESOCONTO STENOGRAFICO,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0170/stenografico.pdf,"Oct 3, 2023 ... L'emendamento, inserito al Senato, che ci apprestiamo ad approvare anche ... 1436: Conversione in legge, con modificazioni, del decreto-legge. 10 agosto 2023, n.",0,0,0,0,0,0,0
Atti Parlamentari,https://documenti.camera.it/leg19/resoconti/assemblea/html/sed0128/leg.19.sed0128.allegato_a.pdf,"May 4, 2023 ... un emendamento all'Accordo sul Tribu- nale unificato dei brevetti, che recepisce l ... sione in legge del decreto-legge 4 maggio. 2023, n. 48, recante misure ...",0,0,0,0,0,0,0
Untitled,http://documenti.camera.it/leg19/resoconti/commissioni/stenografici/html/03c03/audiz2/audizione/2022/12/13/indice_stenografico.0001.html,"Dec 13, 2022 ... ... costo dell'energia e delle materie prime. L'aggressione russa ha provocato ... Per questo ringrazio la Commissione affari esteri che ha approvato un emendamento ...",5,144,5,2,1,0,2
